说话人,文件名,中文,日语
Hanna,Main_001,你一定能做到的吧，完美犯罪。,
Sherry,Main_002,汉娜在质疑我吗？ 我可是看着悬疑小说长大的，那些故事里的凶手都太笨啦，,
Sherry,Main_003,我刚才说的计划可是，什——么证据都不会留下的哦！,
Hanna,Main_004,（真是的，明明就要当凶手了，却还那么兴奋...）,
Hanna,Main_005,那么，我就把绳子交给你了。,
Hanna,Main_006,要让这座监狱的管理者知道， 不是所有人都会心甘情愿地接受既定的命运......,
Hanna,Main_007,......我绝对 不会变为杀人的魔女。,
Hanna,Main_008,还有，雪莉你一定要活下来，听明白了吗！,
Sherry,Main_009,汉娜就放心吧！包在我身上！,
Sherry,Main_010,那么汉娜，,
Sherry,Main_011,闭上眼睛吧。,
Hanna,Main_012,艾玛你怎么发了这么高的烧......,
Hanna,Main_013,我身边怎么都是些笨蛋啊！,
Hanna,Main_014,我这就去叫雪莉和梅露露来！,
Hanna,Main_015,雪莉，梅露露，不好了！,
Hanna,Main_016,艾玛、她、她发了高烧！,
Meruru,Main_017,啊......艾玛小姐，怎么会这样，要赶紧送她到医务室！,
Sherry,Main_018,梅露露你先去医务室准备下，我和汉娜马上就送艾玛过去。,
Meruru,Main_019,啊！好高的烧，怎么会这样！,
Meruru,Main_020,艾玛小姐，现在一定很痛苦吧，,
Meruru,Main_021,并且，艾玛小姐的手上还都是伤痕......,
Meruru,Main_022,说起来，汉娜小姐知道艾玛为什么会生病吗？,
Hanna,Main_023,嗯，我记得艾玛说她晚上一直在挖土......,
Sherry,Main_024,啊，我明白啦！,
Sherry,Main_025,这是《肖〇克的救赎》里面的剧情呀！,
Hanna,Main_026,哈？,
Sherry,Main_027,你们想啊，艾玛拿着食堂里的汤勺，一点一点地在监牢底下挖着。,
Sherry,Main_028,而后在一场倾盆大雨里，从监牢中挖出了一条通道。,
Sherry,Main_029,艾玛从通道内爬出，发现已经到了围墙的外面......,
Sherry,Main_030,......然后，张开手臂，仰天大笑，做出电影里的经典动作......,
Sherry,Main_031,光是想想就令人兴奋呢！,
Hanna,Main_032,觉得兴奋的只有你一个吧！,
Meruru,Main_033,并且，我不觉得我们能从围墙底下挖出去吧。,
Hanna,Main_034,能有那种力量和体力的，应该只有你这个怪力猩猩女才对吧！,
Ema,Main_035,啊......啊，不要......,
Meruru,Main_036,啊，啊！艾玛小姐......,
Sherry,Main_037,话说回来，梅露露你不是有治愈魔法吗， 应该“刷”的一下就可以治好了吧！,
Meruru,Main_038,抱歉，虽然好像可以治愈更重的外伤了， 但还是没法治愈疾病。,
Sherry,Main_039,那梅露露现在还治不了哪些外伤呢？,
Meruru,Main_040,嗯，穿刺伤、枪伤、骨折骨裂这种......或许还不行吧。,
Sherry,Main_041,......,
Meruru,Main_042,呜呜，要是我的魔法再强一点，再有用一点就好了......,
Hanna,Main_043,（“要是再有用一点就好了”，是啊，艾玛这么高烧......）,
Hanna,Main_044,（要是我再有用一点，就好了。要是我再中用一点，就好了）,
Hanna,Main_045,（要是我能飞得更高更远，把大家都带到围墙外面去， 艾玛就不用为了越狱做出傻事。）,
Hanna,Main_046,（说不定，那孩子，那孩子就能活下来。）,
Hanna,Main_047,（现在的艾玛，也是发着高烧，就跟那孩子一样。）,
Hanna,Main_048,（不......不要！你不能死，不能死!）,
Hanna,Main_049,（血？！怎么回事，好，好难受......）,
Hanna,Main_050,（艾玛，你......）,
Hanna,Main_051,（艾玛你这么痛苦，那么，现在就去死吧。 只要死了，就不会再痛苦了。）,
Meruru,Main_052,汉娜小姐......汉娜小姐？,
Hanna,Main_053,怎么了！梅露露你有事吗！！！,
Meruru,Main_054,哇啊啊啊......汉娜小姐，不要那么大声啦！ 我看、我看你的脸色也不太好，是也有哪里不舒服吗？,
Sherry,Main_055,这可一点都不像汉娜呢！那——么大的声音，把我也吓了一跳呢！,
Sherry,Main_056,刚才汉娜一定是突然被什么怨灵附体了吧！ 就像一些超自然悬疑小说里那样！,
Sherry,Main_057,如果汉娜打算做什么不好的事情的话， 我一定会“梆梆”两拳，把汉娜打晕过去的！,
